x,t,L
60,4,1200
30,4,2100
45,4,1200
41,4,2100
57,4,1200
51,4,1200
51,4,1200
30,4,1200
48,4,1200
36,4,2100
51,4,1200
69,4,1200
23,4,2100
40,4,450
63,4,1500
30,4,1500
59,4,1200
32,3,1500
50,4,2100
47,4,2100
29,4,1200
45,4,1500
37,4,1500
43,4,1200
29,4,1200
49,3,1200
29,4,1200
36,4,900
42,4,1500
41,4,1500
12,4,1800
9,4,1800
7,4,2100
2,4,1500
4,4,2100
2,4,2100
51,4,1800
42,4,900
54,4,900
50,4,1500
48,4,1500
48,4,1500
52,4,900
58,4,1050
32,4,3000
41,4,1800
44,4,2100
64,4,1050
59,4,1500
42,4,1500
47,4,2100
5,4,1500
9,4,1500
21,4,1500
50,3,1200
49,4,1500
37,3,1500
2,3,1800
53,4,1200
30,4,1200
33,4,2100
47,4,1050
44,4,1200
29,4,2100
55,3,1200
52,4,750
51,3,1500
26,4,1500
19,4,1500
43,4,1800
46,4,1200
38,4,1200
59,4,1500
46,4,1500
65,4,1200
39,4,1800
43,4,1500
49,4,1050
36,4,1800
53,4,750
48,4,1500
1,4,2100
15,4,1950
44,4,1950
45,4,1950
47,4,2100
34,4,2100
53,3,1200
32,4,1500
42,4,1500
52,4,1500
5,4,2100
37,3,1800
34,3,1800
46,3,900
50,4,1500
34,4,1500
51,4,900
42,3,1200
21,3,1200
44,3,2100
57,3,2100
48,4,1500
30,3,1200
48,3,1800
53,3,1200
54,3,1200
43,3,1200
46,3,1200
58,3,1800
56,3,1500
49,3,1200
39,3,1200
26,3,2100
32,3,2100
59,3,1200
2,3,1200
4,3,1200
61,3,1200
64,3,1200
51,3,1200
53,3,1200
54,3,1200
51,3,1200
63,3,1200
24,3,1200
23,3,2100
55,3,1200
47,3,1200
63,3,2100
68,3,1200
55,3,1200
65,3,1200
62,3,1200
58,3,1500
54,3,1500
57,3,1200
45,3,1200
49,3,1200
57,3,1200
58,3,1200
56,3,1200
57,3,1200
59,3,1200
49,3,1200
54,3,900
60,3,1200
51,3,1200
52,3,1200
43,3,900
53,3,1200
51,3,1200
43,3,1200
48,3,1200
50,3,1200
55,3,1200
54,3,1500
53,3,1200
52,3,1500
48,3,1200
57,3,1200
50,3,1200
60,3,1200
52,3,1200
68,3,1200
33,3,1500
39,3,1200
63,3,1200
46,3,900
70,3,450
55,3,1800
54,3,1200
42,3,1500
61,3,1200
63,3,1200
47,3,1200
56,3,1200
42,3,1200
68,3,1200
34,3,1200
48,3,1200
50,3,1200
41,3,1200
68,3,1200
34,3,1200
61,3,450
55,3,1200
50,3,1650
14,3,1200
