x,Kx_Pst_I,Kx_Pst_II,Kx_Pst_III,qx_m,qx_w,wx_m,wx_w,Px_I,Px_II,Px_III
1,0,1.333E-007,4.10833E-005,0.000273,0.000255,0,0,0,0,0
2,0,1.333E-007,4.10833E-005,0.000263,0.000224,0,0,0,0,0
3,0,1.333E-007,4.10833E-005,0.000134,0.00011,0,0,0,0,0
4,0,1.067E-007,0.00003461,0.000068,0.000053,0,0,0,0,0
5,0,0.00000008,2.81367E-005,0.000046,0.000037,0,0,0,0,0
6,0,5.33E-008,2.16633E-005,0.000058,0.000044,0,0,0,0,0
7,0,2.67E-008,0.00001519,0.000074,0.000059,0,0,0,0,0
8,0,0,8.7167E-006,0.000088,0.000072,0,0,0,0,0
9,4.733E-007,0,1.36467E-005,0.000096,0.000082,0,0,0,0,0
10,9.467E-007,0,1.85767E-005,0.0001,0.000085,0,0,0,0,0
11,0.00000142,0,2.35067E-005,0.000101,0.000083,0,0,0,0,0
12,1.8933E-006,0,2.84367E-005,0.000103,0.000085,0,0,0,0,0
13,2.3667E-006,0,3.33667E-005,0.000112,0.000094,0,0,0,0,0
14,1.8933E-006,2.7967E-006,4.06767E-005,0.00013,0.000111,0,0,0,0,0
15,0.00000142,5.5933E-006,4.79867E-005,0.000161,0.000125,0,0,0,0,0
16,9.467E-007,0.00000839,5.52967E-005,0.000204,0.000142,0,0,0,0,0
17,4.733E-007,1.11867E-005,6.26067E-005,0.000255,0.00016,0,0,0,0,0
18,0,1.39833E-005,6.99167E-005,0.00031,0.000177,0,0,0,0,0
19,0.00001041,0.00003647,0.0000879,0.00036,0.000191,0,0,0,0,0
20,0.00002082,5.89567E-005,0.0001058833,0.000401,0.0002,0,0,0,0,0
21,3.13827E-005,8.18326E-005,0.0001242602,0.000425,0.000203,0.1229015767,0.1255729774,0,0,0
22,4.18436E-005,0.0001044267,0.000142374,0.000426,0.000202,0.0923258337,0.0928562937,0,0,0
23,5.23045E-005,0.0001270209,0.0001604878,0.000415,0.0002,0.0785196905,0.0799172941,0,0,0
24,4.48683E-005,0.0001309571,0.0001547311,0.000398,0.000197,0.0777337992,0.0815855149,0,0,0
25,3.74321E-005,0.0001348933,0.0001489743,0.00038,0.000195,0.0832838258,0.0885358688,0,0,0
26,0.000029996,0.0001388295,0.0001432175,0.000359,0.000196,0.0886076673,0.0926668473,0,0,0
27,2.25598E-005,0.0001427657,0.0001374607,0.000333,0.000194,0.0891170362,0.0905562713,0,0,0
28,1.51236E-005,0.0001467019,0.000131704,0.000311,0.000184,0.0837177645,0.084203223,0,0,0
29,1.20989E-005,0.0001228015,0.0001334788,0.000296,0.000178,0.0744890404,0.0770502815,0,0,0
30,9.0742E-006,9.89011E-005,0.0001352536,0.000288,0.000176,0.0645858097,0.0697540671,0,0,0
31,6.0494E-006,7.50006E-005,0.0001370285,0.000286,0.000177,0.054906867,0.0622624007,0,0,0
32,3.0247E-006,5.11002E-005,0.0001388033,0.00029,0.000181,0.047890853,0.0562550146,0,0,0
33,0,2.71998E-005,0.0001405782,0.000298,0.00019,0.04313593,0.0531240481,0,0,0
34,6.2102E-006,3.59422E-005,0.000172484,0.00031,0.000202,0.0395847734,0.0497502906,0,0,0
35,1.24204E-005,4.46846E-005,0.0002043898,0.000327,0.000218,0.036832398,0.0466935952,0,0,0
36,1.86307E-005,0.000053427,0.0002362956,0.000348,0.000238,0.034769959,0.0438620115,0,0,0
37,2.48409E-005,6.21694E-005,0.0002682013,0.000374,0.000262,0.0330140411,0.0408935534,0,0,0
38,3.10511E-005,7.09118E-005,0.0003001071,0.000405,0.000288,0.0315047664,0.0377894535,0,0,0
39,4.47591E-005,8.96289E-005,0.0003270216,0.000443,0.000318,0.0302631417,0.0354844771,0,0,0
40,5.84672E-005,0.0001083461,0.0003539361,0.000489,0.000351,0.0292807842,0.0341586407,0.0000975,0.000058,0.000024
41,7.21752E-005,0.0001270632,0.0003808506,0.000546,0.000391,0.0285057565,0.0335842059,0.0001105,0.000068,0.000033
42,8.58832E-005,0.0001457804,0.0004077651,0.000615,0.000438,0.0279421228,0.0326143347,0.0001285,0.000082,0.000045
43,9.95913E-005,0.0001644975,0.0004346796,0.000697,0.000495,0.0274787821,0.0318596104,0.0001515,0.0001,0.000059
44,0.0001506149,0.0002495809,0.0004932997,0.000792,0.000563,0.0269136298,0.0307477874,0.0001795,0.0001225,0.000075
45,0.0002016385,0.0003346643,0.0005519199,0.000899,0.000642,0.0261393568,0.0293519669,0.000213,0.000149,0.000094
46,0.0002526621,0.0004197478,0.0006105401,0.001015,0.000731,0.0252821908,0.0281281609,0.0002515,0.0001795,0.000115
47,0.0003036857,0.0005048312,0.0006691603,0.001139,0.000829,0.0243859455,0.0268459423,0.0002965,0.000214,0.000139
48,0.0003547093,0.0005899146,0.0007277805,0.00127,0.000934,0.0235208556,0.0255106948,0.000348,0.0002535,0.000166
49,0.0004187468,0.0007155606,0.0008475693,0.001412,0.001043,0.022828936,0.0246436027,0.000407,0.000298,0.000196
50,0.0004827843,0.0008412066,0.0009673582,0.001572,0.001157,0.0224093763,0.0243303937,0.000474,0.000349,0.0002305
51,0.0005468219,0.0009668527,0.001087147,0.001753,0.001274,0.022174249,0.0242562617,0.0005495,0.000407,0.0002695
52,0.0006108594,0.0010924987,0.0012069359,0.001962,0.001398,0.0213504164,0.0239320835,0.000636,0.000475,0.000314
53,0.0006748969,0.0012181448,0.0013267247,0.002199,0.00153,0.0203633278,0.0227745511,0.000733,0.000553,0.0003645
54,0.0009116226,0.0015551383,0.0015951923,0.002463,0.001674,0.0189995689,0.0207857919,0.000843,0.0006425,0.0004215
55,0.0011483483,0.0018921318,0.0018636599,0.002751,0.001834,0.0171435568,0.0179879618,0.0009675,0.000745,0.000485
56,0.0013850741,0.0022291253,0.0021321276,0.00306,0.002013,0.0150786239,0.0149082779,0.001109,0.000862,0.000555
57,0.0016217998,0.0025661188,0.0024005952,0.00338,0.002212,0.0132869762,0.01246826,0.00127,0.000993,0.0006305
58,0.0018585255,0.0029031123,0.0026690628,0.003641,0.002427,0.0119001344,0.0109618306,0.0014535,0.00114,0.000712
59,0.0022489197,0.0034327743,0.0030012289,0.003917,0.002652,0.0108234049,0.0099950413,0.001666,0.0013055,0.0008005
60,0.0026393139,0.0039624363,0.0033333949,0.004234,0.002882,0.0099457175,0.0091499804,0.001913,0.001493,0.000895
61,0.0030297081,0.0044920983,0.0036655609,0.004616,0.003093,0.0091916898,0.0082955623,0.002202,0.0017055,0.0009975
62,0.0034201023,0.0050217603,0.003997727,0.005023,0.003329,0.0084065994,0.0073462027,0.0025415,0.001949,0.0011115
63,0.0038104964,0.0055514223,0.004329893,0.005416,0.003544,0.0074097939,0.0063043223,0.0029405,0.002229,0.001238
64,0.0045372776,0.0069828042,0.0050857246,0.005877,0.003795,0.0061814802,0.0052597911,0.003408,0.0025535,0.001381
65,0.0052640588,0.008414186,0.0058415562,0.006425,0.004092,0.00492528,0.0042657288,0.003953,0.002929,0.0015445
66,0.00599084,0.0098455679,0.0065973878,0.007037,0.004406,0.0039002328,0.0034042933,0.0045895,0.003366,0.0017325
67,0.0067176211,0.0112769497,0.0073532194,0.007701,0.004765,0.0032836475,0.0027661949,0.005334,0.003877,0.00195
