x,Kx_Pst_I,Kx_Pst_II,Kx_Pst_III,qx_m,qx_w,wx_m,wx_w,Px_I,Px_II,Px_III
1.0000000000,0.0000000000,0.0000001333,0.0000410833,0.0002730000,0.0002550000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
2.0000000000,0.0000000000,0.0000001333,0.0000410833,0.0002630000,0.0002240000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
3.0000000000,0.0000000000,0.0000001333,0.0000410833,0.0001340000,0.0001100000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
4.0000000000,0.0000000000,0.0000001067,0.0000346100,0.0000680000,0.0000530000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
5.0000000000,0.0000000000,0.0000000800,0.0000281367,0.0000460000,0.0000370000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
6.0000000000,0.0000000000,0.0000000533,0.0000216633,0.0000580000,0.0000440000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
7.0000000000,0.0000000000,0.0000000267,0.0000151900,0.0000740000,0.0000590000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
8.0000000000,0.0000000000,0.0000000000,0.0000087167,0.0000880000,0.0000720000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
9.0000000000,0.0000004733,0.0000000000,0.0000136467,0.0000960000,0.0000820000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
10.0000000000,0.0000009467,0.0000000000,0.0000185767,0.0001000000,0.0000850000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
11.0000000000,0.0000014200,0.0000000000,0.0000235067,0.0001010000,0.0000830000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
12.0000000000,0.0000018933,0.0000000000,0.0000284367,0.0001030000,0.0000850000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
13.0000000000,0.0000023667,0.0000000000,0.0000333667,0.0001120000,0.0000940000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
14.0000000000,0.0000018933,0.0000027967,0.0000406767,0.0001300000,0.0001110000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
15.0000000000,0.0000014200,0.0000055933,0.0000479867,0.0001610000,0.0001250000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
16.0000000000,0.0000009467,0.0000083900,0.0000552967,0.0002040000,0.0001420000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
17.0000000000,0.0000004733,0.0000111867,0.0000626067,0.0002550000,0.0001600000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0144600000
