Jahr,RFNoVA,RFVA,SpotNoVAShockUP,SpotNoVAShockDown,SpotVAShockUp,SpotVAShockDown
1,-0.00022,0.00248,0.00978,-0.00022,0.01248,0.00248
2,0.00022,0.00292,0.01022,0.00008,0.01292,0.00278
3,0.00118,0.00388,0.01118,0.00052,0.01388,0.00322
4,0.00242,0.00512,0.01242,0.00121,0.01512,0.00391
5,0.00393,0.00663,0.01393,0.00212,0.01663,0.00482
6,0.00548,0.00818,0.01548,0.00318,0.01818,0.00588
7,0.00698,0.00968,0.01698,0.00426,0.01968,0.00696
8,0.00835,0.01105,0.01835,0.00534,0.02105,0.00804
9,0.0096,0.0123,0.0196,0.00643,0.0223,0.00913
10,0.01071,0.01341,0.02071,0.00739,0.02341,0.01009
11,0.01159,0.01429,0.02159,0.00811,0.02429,0.01081
12,0.01247,0.01517,0.02247,0.00885,0.02517,0.01155
13,0.01318,0.01588,0.02318,0.00949,0.02588,0.01219
14,0.01388,0.01658,0.02388,0.00999,0.02658,0.01269
15,0.01425,0.01695,0.02425,0.0104,0.02695,0.0131
16,0.01474,0.01744,0.02474,0.01061,0.02744,0.01331
17,0.0152,0.0179,0.0252,0.01094,0.0279,0.01364
18,0.01551,0.01821,0.02551,0.01117,0.02821,0.01387
19,0.01575,0.01845,0.02575,0.01118,0.02845,0.01388
20,0.01589,0.01859,0.02589,0.01128,0.02859,0.01398
21,0.01613,0.01882,0.02613,0.01147,0.02882,0.01416
22,0.01648,0.01913,0.02648,0.01174,0.02913,0.01439
23,0.01691,0.01951,0.02691,0.01207,0.02951,0.01467
24,0.01739,0.01994,0.02739,0.01244,0.02994,0.01499
25,0.0179,0.02039,0.0279,0.01282,0.03039,0.01531
26,0.01843,0.02086,0.02843,0.01323,0.03086,0.01566
27,0.01897,0.02134,0.02897,0.01364,0.03134,0.01601
28,0.01951,0.02183,0.02951,0.01405,0.03183,0.01637
29,0.02005,0.0223,0.03005,0.01447,0.0323,0.01672
30,0.02058,0.02278,0.03058,0.01488,0.03278,0.01708
31,0.0211,0.02324,0.0311,0.01528,0.03324,0.01742
32,0.02161,0.0237,0.03161,0.01568,0.0337,0.01777
33,0.0221,0.02414,0.0321,0.01606,0.03414,0.0181
34,0.02258,0.02456,0.03258,0.01644,0.03456,0.01842
35,0.02305,0.02498,0.03305,0.01681,0.03498,0.01874
36,0.0235,0.02538,0.0335,0.01717,0.03538,0.01905
37,0.02393,0.02577,0.03393,0.01751,0.03577,0.01935
38,0.02435,0.02614,0.03435,0.01785,0.03614,0.01964
39,0.02476,0.02651,0.03476,0.01818,0.03651,0.01993
40,0.02515,0.02685,0.03515,0.0185,0.03685,0.0202
41,0.02552,0.02719,0.03552,0.01881,0.03719,0.02048
42,0.02588,0.02751,0.03588,0.01911,0.03751,0.02074
43,0.02623,0.02783,0.03623,0.0194,0.03783,0.021
44,0.02657,0.02813,0.03657,0.01968,0.03813,0.02124
45,0.02689,0.02842,0.03689,0.01996,0.03842,0.02149
46,0.0272,0.0287,0.0372,0.02022,0.0387,0.02172
47,0.0275,0.02896,0.0375,0.02048,0.03896,0.02194
48,0.02779,0.02922,0.03779,0.02073,0.03922,0.02216
49,0.02807,0.02947,0.03807,0.02098,0.03947,0.02238
50,0.02834,0.02971,0.03834,0.02121,0.03971,0.02258
51,0.0286,0.02995,0.0386,0.02145,0.03995,0.0228
52,0.02885,0.03017,0.03885,0.02167,0.04017,0.02299
53,0.02909,0.03039,0.03909,0.02189,0.04039,0.02319
54,0.02932,0.0306,0.03932,0.0221,0.0406,0.02338
55,0.02955,0.0308,0.03955,0.02231,0.0408,0.02356
56,0.02976,0.031,0.03976,0.02251,0.041,0.02375
57,0.02998,0.03119,0.03998,0.02271,0.04119,0.02392
58,0.03018,0.03137,0.04018,0.0229,0.04137,0.02409
59,0.03038,0.03155,0.04038,0.02309,0.04155,0.02426
60,0.03057,0.03172,0.04057,0.02328,0.04172,0.02443
61,0.03075,0.03188,0.04075,0.02345,0.04188,0.02458
62,0.03093,0.03204,0.04093,0.02363,0.04204,0.02474
63,0.0311,0.0322,0.0411,0.0238,0.0422,0.0249
64,0.03127,0.03235,0.04127,0.02397,0.04235,0.02505
65,0.03144,0.0325,0.04144,0.02414,0.0425,0.0252
66,0.03159,0.03264,0.04159,0.0243,0.04264,0.02535
67,0.03175,0.03278,0.04175,0.02446,0.04278,0.02549
68,0.0319,0.03291,0.0419,0.02462,0.04291,0.02563
69,0.03204,0.03304,0.04204,0.02477,0.04304,0.02577
70,0.03218,0.03317,0.04218,0.02492,0.04317,0.02591
71,0.03232,0.03329,0.04232,0.02507,0.04329,0.02604
72,0.03246,0.03341,0.04246,0.02522,0.04341,0.02617
73,0.03258,0.03353,0.04258,0.02535,0.04353,0.0263
74,0.03271,0.03365,0.04271,0.0255,0.04365,0.02644
75,0.03283,0.03376,0.04283,0.02563,0.04376,0.02656
76,0.03295,0.03386,0.04295,0.02577,0.04386,0.02668
77,0.03307,0.03397,0.04307,0.0259,0.04397,0.0268
78,0.03319,0.03407,0.04319,0.02604,0.04407,0.02692
79,0.0333,0.03417,0.0433,0.02617,0.04417,0.02704
80,0.0334,0.03427,0.0434,0.02629,0.04427,0.02716
81,0.03351,0.03436,0.04351,0.02642,0.04436,0.02727
